Event	ID	Name			Wwise Object Path	Notes
	672917745	FOLEYS_Weapon_Trigger			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Weapon_Trigger	
	917610224	FOLEYS_Weapon_Shoot			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Weapon_Shoot	
	1212767844	FOLEYS_Weapon_Reload			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Weapon_Reload	
	1417297257	FOLEYS_Char_TakeOff			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Char_TakeOff	
	1448405397	FOLEYS_Tile_Resist			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Tile_Resist	
	1962994296	FOLEYS_Char_Footsteps			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Char_Footsteps	
	2031942103	FOLEYS_Char_Death			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Char_Death	
	2368415702	FOLEYS_Char_Hit			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Char_Hit	
	2560249231	FOLEYS_Tile_Destroy			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Tile_Destroy	
	3542894396	FOLEYS_Char_Landing			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Char_Landing	
	3547271382	FOLEYS_Tile_Hit			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Tile_Hit	
	3710739246	FOLEYS_Bird_Death			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\FOLEYS_Bird_Death	
	4018722132	Stop_Weapon			\BIOCIDE_EVENTS\SFX EVENTS\FOLEYS EVENTS\Stop_Weapon	

State Group	ID	Name			Wwise Object Path	Notes
	1296044485	WeaponLevel			\BIOCIDE_STATES\GENERAL STATES\WeaponLevel	
	1381176751	DestructionLevel			\BIOCIDE_STATES\GENERAL STATES\DestructionLevel	

State	ID	Name	State Group			Notes
	748895195	None	WeaponLevel			
	987635872	Level_00	WeaponLevel			
	987635873	Level_01	WeaponLevel			
	987635874	Level_02	WeaponLevel			
	987635875	Level_03	WeaponLevel			
	987635876	Level_04	WeaponLevel			
	748895195	None	DestructionLevel			
	1290008369	Level_1	DestructionLevel			
	1290008370	Level_2	DestructionLevel			
	1290008371	Level_3	DestructionLevel			

Custom State	ID	Name	State Group	Owner		Notes
	31587225	Level_2	DestructionLevel	\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Tile\Hit\FOLEYS_Tile_Hit\ToxicLayer		
	437547326	Level_1	DestructionLevel	\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Tile\Hit\FOLEYS_Tile_Hit\ToxicLayer		

Game Parameter	ID	Name			Wwise Object Path	Notes
	1354861859	RTPC_TileHP			\BIOCIDE_RTPC\GENERAL RTPC\RTPC_TileHP	
	2807485413	WeaponCharge			\BIOCIDE_RTPC\SFX RTPC\FOLEYS RTPC\WeaponCharge	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	23728125	FOLEYS_Tile_Resist_Level2_001	D:\Documents\- DOCS PERSO\Taff\Biocide\BiocideGame\BiocideWwiseSession\.cache\Mac\SFX\Foleys\Tiles\FOLEYS_Tile_Resist_Level2_001_755F56E2.wem		\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Tile\Resist\FOLEYS_Tile_Resist\Resist\Level_02\FOLEYS_Tile_Resist_Level2_001		10095
	25467263	FOLEYS_Tile_Impact_ToxicLayer_002	D:\Documents\- DOCS PERSO\Taff\Biocide\BiocideGame\BiocideWwiseSession\.cache\Mac\SFX\Foleys\Tiles\FOLEYS_Tile_Impact_ToxicLayer_002_755F56E2.wem		\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Tile\Hit\FOLEYS_Tile_Hit\ToxicLayer\FOLEYS_Tile_Impact_ToxicLayer_002		37246
	26333508	FOLEYS_Char_Jump_Toxic_002	D:\Documents\- DOCS PERSO\Taff\Biocide\BiocideGame\BiocideWwiseSession\.cache\Mac\SFX\Foleys\Character\FOLEYS_Char_Jump_Toxic_002_755F56E2.wem		\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Characters\TakeOff\FOLEYS_Char_TakeOff\Toxic\Toxic\FOLEYS_Char_Jump_Toxic_002		17826
	41315139	FOLEYS_Char_Jump_Toxic_000	D:\Documents\- DOCS PERSO\Taff\Biocide\BiocideGame\BiocideWwiseSession\.cache\Mac\SFX\Foleys\Character\FOLEYS_Char_Jump_Toxic_000_755F56E2.wem		\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Characters\TakeOff\FOLEYS_Char_TakeOff\Toxic\Toxic\FOLEYS_Char_Jump_Toxic_000		17231
	50026599	FOLEYS_Char_Landing_Grass_003	D:\Documents\- DOCS PERSO\Taff\Biocide\BiocideGame\BiocideWwiseSession\.cache\Mac\SFX\Foleys\Character\FOLEYS_Char_Landing_Grass_003_755F56E2.wem		\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Characters\Landing\FOLEYS_Char_Landing\Toxic\Grass\FOLEYS_Char_Landing_Grass_003		29789
	53071694	FOLEYS_Char_Jump_Grass_000	D:\Documents\- DOCS PERSO\Taff\Biocide\BiocideGame\BiocideWwiseSession\.cache\Mac\SFX\Foleys\Character\FOLEYS_Char_Jump_Grass_000_755F56E2.wem		\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Characters\TakeOff\FOLEYS_Char_TakeOff\Toxic\Grass\FOLEYS_Char_Jump_Grass_000		13803
	58418014	FOLEYS_Char_Landing_Grass_002	D:\Documents\- DOCS PERSO\Taff\Biocide\BiocideGame\BiocideWwiseSession\.cache\Mac\SFX\Foleys\Character\FOLEYS_Char_Landing_Grass_002_755F56E2.wem		\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Characters\Landing\FOLEYS_Char_Landing\Toxic\Grass\FOLEYS_Char_Landing_Grass_002		24588
	63976718	FOLEYS_Char_Jump_Grass_001	D:\Documents\- DOCS PERSO\Taff\Biocide\BiocideGame\BiocideWwiseSession\.cache\Mac\SFX\Foleys\Character\FOLEYS_Char_Jump_Grass_001_755F56E2.wem		\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Characters\TakeOff\FOLEYS_Char_TakeOff\Toxic\Grass\FOLEYS_Char_Jump_Grass_001		15595
	85570332	FOLEYS_Tile_Resist_Level2_003	D:\Documents\- DOCS PERSO\Taff\Biocide\BiocideGame\BiocideWwiseSession\.cache\Mac\SFX\Foleys\Tiles\FOLEYS_Tile_Resist_Level2_003_755F56E2.wem		\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Tile\Resist\FOLEYS_Tile_Resist\Resist\Level_02\FOLEYS_Tile_Resist_Level2_003		10944
	86300606	Pulverisator_Trigger_Level_4	D:\Documents\- DOCS PERSO\Taff\Biocide\BiocideGame\BiocideWwiseSession\.cache\Mac\SFX\Foleys\Weapon\Pulverisator_Trigger_Level_4_755F56E2.wem		\Actor-Mixer Hierarchy\BIOCIDE_AUDIO\SFX\FOLEYS\Foleys\Weapon\Shoot\FOLEYS_Weapon_Trigger\ShootTrigger\Level_04\Pulverisator_Trigger_Level_4		35904
